DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-02-26;11:03:00;VIA LIGURIA;68-A;VIA ISTRIA;Incidente stradale con feriti;Urto laterale;2;2;0;1;0;0;0;
2015-02-27;11:22:00;VIA LOGUDORO;;VICO LOGUDORO;Incidente stradale con feriti;Precedenza;3;2;0;0;1;0;0;
2015-02-27;11:11:00;VIA MONTE SABOTINO;< x >;VIA MONTE GRAPPA;Incidente stradale con feriti;Investimento di pedone;1;0;2;1;0;0;0;
2015-02-27;10:22:00;VIA DEI DONORATICO;< x >;VIA CAPULA;Incidente stradale senza feriti;Urto con veicolo in sosta;5;0;1;0;0;0;0;
2015-02-27;09:37:00;VIA DEL CANNETO;< x >;VIA VESALIO;Incidente stradale senza feriti;Semaforo rosso;2;0;2;0;0;0;0;
2015-02-27;20:42:00;VIALE GUGLIELMO MARCONI;60;;Incidente stradale senza feriti;Tamponamento;3;2;1;0;0;0;0;
2015-02-27;16:43:00;ASSE MEDIANO DI SCORRIMENTO;KM. 11,800;;Incidente stradale con feriti;Tamponamento;2;2;0;1;0;0;0;
2015-02-27;16:10:00;VIA TIMAVO;< x >;VIA MONFALCONE;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-02-28;20:58:00;VIA UNIVERSITA`;1;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-03-01;16:32:00;VIA SISTO V;< x >;VIA GIULIO II;Incidente stradale con feriti;Precedenza;2;1;2;3;0;0;0;
2015-03-01;10:07:00;ASSE MEDIANO DI SCORRIMENTO;;;Incidente stradale con feriti;Uscita x sbandamento;2;2;0;1;0;0;0;
2015-03-01;17:03:00;VIA CINQUINI;< x >;VIA CORNALIAS;Incidente stradale con feriti;Tamponamento;2;0;2;2;0;0;0;
2015-03-02;17:43:00;S.S. 195;KM.5,600;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;2;2;0;0;0;0;0;
2015-03-02;13:01:00;VIALE BUONCAMMINO;;;Incidente stradale con feriti;Uscita x sbandamento;1;0;1;1;0;0;0;
2015-03-03;16:33:00;VIALE LA PLAIA;< x >;VIA SASSARI;Incidente stradale con feriti;Investimento di pedone;1;2;0;0;1;0;0;
2015-03-03;14:57:00;VIA S`ARRULLONI;< x >;VIA DEL SOLE;Incidente stradale senza feriti;Precedenza;2;0;2;0;0;0;0;
2015-03-03;12:21:00;LARGO GENNARI;;;Incidente stradale per caduta di pedone;Caduta di pedone x buca;0;1;0;0;0;0;0;
2015-03-03;09:24:00;VIA IS MAGLIAS;< x >;COLLE TUVIXEDDU;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0;
2015-03-03;17:46:00;VIA TIEPOLO;;VIA PAOLO DA DORIA;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-03-03;16:45:00;ASSE MEDIANO DI SCORRIMENTO;KM. 3,200;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-03-04;20:47:00;VIALE BONARIA;< x >;VIALE CIMITERO;Incidente stradale con feriti;Urto laterale;2;1;1;1;0;0;0;
2015-03-04;15:53:00;VIA S`ARRULLONI;alt. bar music;VIA FAVONIO;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-03-04;11:23:00;S.S. 131;KM. 6,000;;Incidente stradale con feriti;Tamponamento;2;2;0;2;0;0;0;
2015-03-05;17:48:00;VIA S.ALENIXEDDA;19/a;;Danneggiamento;Urto con cassonetto;2;0;0;0;0;0;0;
2015-03-05;00:08:00;VIA ROMAGNA;< x >;VIA DEI GIUDICATI;Incidente stradale con feriti;Frontale / laterale;2;0;2;2;0;0;0;
2015-03-05;12:14:00;VIA FLUMENTEPIDO;18;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-05;18:30:00;VIA CAMPANIA;87;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-03-05;11:04:00;PIAZZA REPUBBLICA;4;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-03-05;17:24:00;VIALE LA PLAIA;< x >;S.S. 195;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-03-05;10:44:00;VIA ABRUZZI;5;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-03-05;15:52:00;VIA MONTE GRAPPA;4b;;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-03-05;09:53:00;VIA BAUDI DI VESME;15;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-03-05;13:57:00;VIA GOCEANO;< x >;VIA DANTE;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-05;09:13:00;VIA ROMA;< x >;LARGO CARLO FELICE;Incidente stradale con feriti;Precedenza;2;2;1;2;0;0;0;
2015-03-05;13:51:00;PIAZZA S.AVENDRACE;< x >;PIAZZA S.AVENDRACE;Incidente stradale senza feriti;Cambio di corsia;2;1;1;0;0;0;0;
2015-03-05;20:15:00;VIA CASTIGLIONE;28;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-03-05;04:55:00;VIA BARRACCA MANNA;12;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0;
2015-03-05;13:05:00;VIA GUTTUSO;< x >;VIA BOCCIONI;Danneggiamento;Urto con cassonetto;1;1;0;0;0;0;0;
2015-03-06;13:46:00;ASSE MEDIANO DI SCORRIMENTO;< x >;VIA JENNER;Incidente stradale senza feriti;Tamponamento;3;2;1;0;0;0;0;
2015-03-06;11:15:00;ASSE MEDIANO DI SCORRIMENTO;KM. 8,350;;Incidente stradale senza feriti;Tamponamento;4;3;1;0;0;0;0;
2015-03-06;10:41:00;VIA DESSY DELIPERI;< x >;VIA BROTZU;Incidente stradale senza feriti;Precedenza;2;0;2;0;0;0;0;
2015-03-06;08:15:00;VIA COSTANTINOPOLI;;VIA CETTIGNE;Incidente stradale senza feriti;Manovra di retromarcia;2;1;1;0;0;0;0;
2015-03-07;08:54:00;VIA CIUSA;< x >;VIA BACAREDDA;Incidente stradale con feriti;Frontale / laterale;2;1;2;2;0;0;0;
2015-03-07;15:42:00;VIA MAMELI;71;;Danneggiamento;Cornicione su auto;2;1;0;0;0;0;0;
2015-03-07;14:10:00;VIA MONS. PIOVELLA;4;;Incidente stradale per caduta di pedone;Caduta di pedone x buca;0;1;0;0;0;0;0;
2015-03-08;22:05:00;S.S. 195;KM. 3/BIS;;Incidente stradale senza feriti;Uscita x sbandamento;1;0;1;0;0;0;0;
2015-03-09;19:24:00;VIALE GUGLIELMO MARCONI;< x >;VIA MEUCCI;Incidente stradale con feriti;Tamponamento;4;4;1;2;0;0;0;
2015-03-09;08:45:00;ASSE MEDIANO DI SCORRIMENTO;;;Incidente stradale con feriti;Tamponamento;3;3;0;1;0;0;0;
2015-03-09;14:48:00;VIALE MONASTIR;< x >;VIA DOLCETTA;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-03-09;03:16:00;VIA GIOTTO;;VIA PIERO DELLA FRANCESCA;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-03-09;14:12:00;VIA IGLESIAS;3;;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;1;0;1;0;0;0;
2015-03-09;12:17:00;VIA ALGHERO;40;;Incidente stradale senza feriti;;2;1;0;0;0;0;0;
2015-03-09;10:45:00;VIA DEL NASTRO AZZURRO;1;;Incidente stradale senza feriti;Urto anteriore;2;2;0;0;0;0;0;
2015-03-09;09:39:00;VIA LIGURIA;84;;Incidente stradale con feriti;Tamponamento;3;3;0;1;0;0;0;
2015-03-10;00:37:00;CORSO VITTORIO EMANUELE II;< x >;VIA CAPRERA;Incidente stradale senza feriti;Urto con veicolo in sosta;3;0;1;1;0;0;0;
2015-03-10;19:14:00;VIA RIVA VILLASANTA;221;;Incidente stradale senza feriti;Immissione nel flusso della circolazione;2;2;0;0;0;0;0;
2015-03-10;17:02:00;VIA PISANO;;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-03-10;16:10:00;VIA GIANTURCO;< x >;VIA CHIRONI;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;1;0;0;0;0;
2015-03-10;14:56:00;VIA S.ISIDORO;;VIA GEN.CANTORE;Incidente stradale con feriti;Precedenza;2;0;2;1;0;0;0;
2015-03-10;13:38:00;LARGO CARLO FELICE;7;VIA SARDEGNA;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;0;1;0;1;0;0;
2015-03-10;06:53:00;VIALE S.AVENDRACE;< x >;VIA TAGLIAMENTO;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-03-10;20:29:00;VIA LAI;< x >;VIA COCCO ORTU;Incidente stradale con feriti;Precedenza;2;2;0;1;0;0;0;
2015-03-11;19:15:00;0 S.S. 195 RAC ( EX CASIC);km.1,900;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-11;08:50:00;VIALE MERELLO;83;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-03-12;10:36:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-13;12:16:00;ASSE MEDIANO DI SCORRIMENTO;;VIA S.MARIA CHIARA;Incidente stradale con feriti;Tamponamento;3;2;1;1;0;0;0;
2015-03-13;10:02:00;VIA PORTOSCALAS;20;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-02;10:36:00;VIA CIUSA;;VIA VALENZANI;Incidente stradale senza feriti;Tamponamento;2;0;2;0;0;0;0;
2015-02-02;08:40:00;VIA RAVENNA;< x >;VIA BOLOGNA;Incidente stradale senza feriti;Frontale / laterale;3;1;1;0;0;0;0;
2015-02-02;00:18:00;VIA FRATELLI BANDIERA;< x >;VIA LEGNANO;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-03;18:21:00;VIA PERETTI;< x >;VIA PIERO DELLA FRANCESCA;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-02-03;16:46:00;VIA MASANIELLO;< x >;VIA S.MARIA CHIARA;Incidente stradale senza feriti;Manovra di retromarcia;2;2;0;0;0;0;0;
2015-02-03;15:10:00;VIA AZUNI;< x >;VIA S.RESTITUTA;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-02-03;13:46:00;VIA TRINCEA D. FRASCHE;< x >;VIA REDIPUGLIA;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0;
2015-02-03;12:16:00;VIA ABRUZZI;< x >;VIA LUNIGIANA;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0;
2015-02-04;01:11:00;CORSO VITTORIO EMANUELE II;441;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;2;0;0;0;0;0;
2015-02-04;19:43:00;VIALE ELMAS;154;;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-02-04;19:40:00;VIA ROMA;< x >;VIA SASSARI;Incidente stradale con feriti;Investimento di pedone;1;2;0;0;1;0;0;
2015-02-04;18:34:00;VIA LOGUDORO;;VIA DANTE;Incidente stradale con feriti;Tamponamento;2;0;2;1;0;0;0;
2015-02-04;16:32:00;ASSE MEDIANO DI SCORRIMENTO;KM. 8,000;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-04;11:15:00;VIALE LA PLAIA;;VIALE PULA;Incidente stradale con feriti;Svolta a sinistra irregolare;2;4;0;2;0;0;0;
2015-02-04;09:17:00;LARGO CARLO FELICE;< x >;VIA ROMA;Incidente stradale con feriti;Tamponamento;2;1;1;1;0;0;0;
2015-02-04;23:32:00;VIALE S.AVENDRACE;138;;Incidente stradale senza feriti;Urto con veicolo in sosta;3;1;0;0;0;0;0;
2015-02-05;11:11:00;PIAZZA GIOVANNI XXIII;< x >;VIA MEDAGLIE D`ORO;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-02-05;09:13:00;VIA CURIE;< x >;VIA GENERALE CAGNA;Incidente stradale con feriti;Precedenza;3;0;3;0;1;0;0;
2015-02-05;22:51:00;VIA MEILOGU;< x >;VIA PERTUSOLA;Incidente stradale con feriti;Precedenza;2;4;0;3;0;0;0;
2015-02-05;09:03:00;VIALE GUGLIELMO MARCONI;195;;Incidente stradale con feriti;Immissione nel flusso della circolazione;2;1;1;1;0;0;0;
2015-02-05;19:12:00;LARGO CARLO FELICE;< x >;VIA ROMA;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-02-05;08:44:00;VIA MACHIAVELLI;< x >;VIA ARIOSTO;Incidente stradale con feriti;Precedenza;2;1;2;2;0;0;0;
2015-02-05;18:33:00;LARGO CARLO FELICE;< x >;PIAZZA YENNE;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-05;01:27:00;ASSE MEDIANO DI SCORRIMENTO;KM. 9,700;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-05;14:13:00;VIALE GUGLIELMO MARCONI;< x >;VIA SARPI;Incidente stradale con feriti;Tamponamento;2;2;1;2;0;0;0;
2015-02-06;11:59:00;ASSE MEDIANO DI SCORRIMENTO;;;Incidente stradale con feriti;Tamponamento;3;1;2;2;0;0;0;
2015-02-06;11:27:00;VIALE MONASTIR;;VIA DOLCETTA;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-06;11:35:00;VIALE POETTO;< x >;VIA S`ARRULLONI;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-02-06;20:40:00;0 S.S. 195 RAC ( EX CASIC);KM. 0,700;;Incidente stradale con feriti;Caduta dal veicolo x Buca;1;1;0;0;1;0;0;
2015-02-06;19:42:00;ASSE MEDIANO DI SCORRIMENTO;;;Incidente stradale senza feriti;;1;0;0;0;0;0;0;
2015-02-06;17:43:00;VIA BRENTA;;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-06;12:56:00;ROTATORIA CADELLO/SANTA MARIA CHIARA;;;Incidente stradale con feriti;Frontale / laterale;2;2;0;1;0;0;0;
2015-02-07;12:37:00;VIA ROSSINI;46;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-07;11:05:00;VIA S.MARIA CHIARA;142;;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0;
2015-02-07;21:10:00;VIA BACAREDDA;< x >;VIA TIZIANO;Incidente stradale senza feriti;Investimento di pedone;1;2;0;0;0;0;0;
2015-02-07;17:25:00;VIA IS MAGLIAS;< x >;VIALE MERELLO;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-02-08;22:24:00;VIALE GUGLIELMO MARCONI;;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-08;19:30:00;VIA BACAREDDA;< x >;VIA GIOBERTI;Incidente stradale con feriti;Frontale / laterale;2;2;0;0;1;0;0;
2015-02-08;13:51:00;VIA DEI GIUDICATI;;PIAZZA GIOVANNI XXIII;Incidente stradale senza feriti;Tamponamento;3;2;1;0;0;0;0;
2015-02-09;00:10:00;VIA CHIABRERA;;VIA BIASI;Incidente stradale con feriti;Uscita x sbandamento;2;2;0;1;0;0;0;
2015-02-09;21:20:00;0 S.S. 195 RAC ( EX CASIC);;;Incidente stradale con feriti;Uscita x sbandamento;0;0;1;1;0;0;0;
2015-02-09;16:49:00;VIALE BONARIA;;;Incidente stradale con feriti;Immissione nel flusso della circolazione;2;1;1;1;0;0;0;
2015-02-09;15:09:00;VIALE TRIESTE;89;;Incidente stradale con feriti;Cambio di corsia;2;1;3;2;0;0;0;
2015-02-09;14:21:00;VIALE TRIESTE;< x >;VIA ROMA;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;1;0;1;0;0;0;
2015-02-09;08:18:00;VIA ABRUZZI;16;;Incidente stradale con feriti;Svolta a sinistra irregolare;3;1;1;1;0;0;0;
2015-02-10;08:06:00;VIA DEI GIUDICATI;52;;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0;
2015-02-11;08:19:00;VIA STAMIRA;< x >;VIA PLATONE;Incidente stradale con feriti;Investimento di pedone;1;0;2;1;0;0;0;
2015-02-11;12:10:00;JENNER;;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-02-11;12:38:00;PIAZZA GARIBALDI;;;Incidente stradale per caduta di pedone;Caduta di pedone x buca;0;1;0;0;0;1;0;
2015-02-11;10:43:00;VIA TIEPOLO;< x >;VIA SINI;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-02-11;10:31:00;VIA S.MARIA CHIARA;< x >;VIA FAMAGOSTA;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-02-11;10:50:00;VIA PIERO DELLA FRANCESCA;< x >;VIA PETRARCA;Incidente stradale con feriti;Precedenza;2;1;1;1;0;0;0;
2015-02-11;18:36:00;VIALE GUGLIELMO MARCONI;< x >;VIA VENTURI;Incidente stradale con feriti;Svolta a sinistra irregolare;2;4;1;3;0;0;0;
2015-02-11;08:53:00;VIA CHIABRERA;;VIA STAMPA;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-02-11;17:13:00;VIA LEO PIETRO;;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0;
2015-02-12;17:54:00;VIA CADELLO;;;Incidente stradale con feriti;Cambio di corsia;2;4;0;3;0;0;0;
2015-02-13;07:14:00;PIAZZA REPUBBLICA;< x >;VIA DELEDDA;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-14;14:40:00;VIA ROMA;< x >;LARGO CARLO FELICE;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-02-14;10:27:00;VIA S.GIOVANNI;< x >;VIA S.ROCCO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-02-14;10:16:00;VIALE LA PLAIA;15;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-03-13;17:25:00;VIA TOTI;< x >;VIA MARMILLA;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-03-13;15:43:00;VIA SCANO;74;;Incidente stradale senza feriti;Cambio di corsia;2;1;1;0;0;0;0;
2015-03-13;14:18:00;VIA LIGURIA;48;;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0;
2015-03-13;12:19:00;VIA TALETE;29;;Incidente stradale senza feriti;;2;1;1;0;0;0;0;
2015-03-14;12:35:00;ASSE MEDIANO DI SCORRIMENTO;< x >;VIA JENNER;Incidente stradale con feriti;Urto laterale;2;1;1;1;0;0;0;
2015-03-14;05:44:00;VIALE COLOMBO;;VIA CABOTO;Incidente stradale con feriti;Uscita x sbandamento;1;1;0;0;1;0;0;
2015-03-14;04:06:00;VIA DELEDDA;32;;Incidente stradale senza feriti;Urto con veicolo in sosta;5;0;1;0;0;0;0;
2015-03-14;23:15:00;VIA CASTIGLIONE;< x >;VIA GIUSTI;Incidente stradale senza feriti;Urto con veicolo in sosta;5;1;0;0;0;0;0;
2015-03-14;14:32:00;VIALE POETTO;;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-03-15;19:25:00;VIA SANJUST;< x >;VIA DELL` ABBAZIA;Incidente stradale con feriti;Investimento di pedone;1;0;2;1;0;0;0;
2015-03-15;01:42:00;VIA GHERARDO DELLE NOTTI;;;Incidente stradale con feriti;Frontale / laterale;2;2;1;2;0;0;0;
2015-03-15;01:08:00;VIALE ELMAS;< x >;VIA DELL`  ARTIGIANATO;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-16;08:43:00;VIA PERGOLESI;< x >;VIA CIMAROSA;Incidente stradale senza feriti;Immissione nel flusso della circolazione;2;1;1;0;0;0;0;
2015-03-16;17:16:00;VIALE TRIESTE;< x >;VIA POLA;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-03-16;13:21:00;S.S. 554;KM. 2,000;;Incidente stradale con feriti;Uscita x sbandamento;1;0;1;1;0;0;0;
2015-03-17;15:54:00;CORSO VITTORIO EMANUELE II;< x >;VIA CAPRERA;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-03-17;14:19:00;VIA ROMA;;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-03-17;11:21:00;VIA IS MIRRIONIS;186;;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-03-17;10:35:00;VIA DANTE;< x >;PIAZZA REPUBBLICA;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0;
2015-03-17;18:58:00;VIA CASTIGLIONE;68;;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;0;1;0;1;0;0;
2015-03-17;09:29:00;VIA DEI DONORATICO;< x >;VIA CAPULA;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-03-17;19:09:00;ASSE MEDIANO DI SCORRIMENTO;KM. 7,800;;Incidente stradale con feriti;Cambio di corsia;2;1;1;0;1;0;0;
2015-03-17;17:42:00;S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-18;11:00:00;VIA PERGOLESI;9;;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;1;0;1;0;0;0;
2015-03-18;10:07:00;VIA TRAMONTANA;;;Incidente stradale senza feriti;Urto laterale;1;1;0;0;0;0;0;
2015-03-18;03:08:00;VIA DANTE;69;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-03-18;23:49:00;VIA DEL CANNETO;63;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0;
2015-03-18;22:07:00;VIA GIOTTO;25B;;Incidente stradale senza feriti;Frontale / laterale;2;0;1;0;0;0;0;
2015-03-18;10:24:00;VIA ITALIA;63;;Incidente stradale per caduta di pedone;Caduta di Pedone accidentale;0;0;1;0;1;0;0;
2015-03-19;09:48:00;VIA DELLO SPORT;;;Danneggiamento;Ramo su auto;1;1;0;0;0;0;0;
2015-03-19;09:18:00;ROTATORIA CADELLO/IS MIRRIONIS;;;Incidente stradale senza feriti;Cambio di corsia;2;1;1;0;0;0;0;
2015-03-19;08:33:00;VIALE POETTO;;;Incidente stradale con feriti;Tamponamento;4;3;1;2;0;0;0;
2015-03-19;21:17:00;VIA LEPANTO;< x >;VIA SARDEGNA;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0;
2015-03-19;11:23:00;VIA LIGURIA;10;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-03-20;15:31:00;PIAZZA MARCO POLO;;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0;
2015-03-20;13:39:00;VIALE MONASTIR;229;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-20;13:53:00;S.S. 554;;;Incidente stradale con feriti;Tamponamento;2;0;2;1;0;0;0;
2015-03-20;11:35:00;VIA CORNALIAS;;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-03-20;10:13:00;VIA CASTIGLIONE;39;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;2;0;2;0;0;0;0;
2015-03-21;21:40:00;VIA SASSARI;< x >;VIA MAMELI;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;0;1;0;1;0;0;
2015-03-21;13:28:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-21;11:44:00;VIA BACAREDDA;170;;Incidente stradale con feriti;Manovra di retromarcia;1;1;1;1;0;0;0;
2015-03-21;10:50:00;VIA MANZONI;45;;Incidente stradale senza feriti;Manovra di retromarcia;2;1;1;0;0;0;0;
2015-03-21;10:27:00;VIA TOFANE;;VIA BOSCO CAPPUCCIO;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-03-21;05:45:00;VIA SASSARI;< x >;VIALE LA PLAIA;Incidente stradale senza feriti;Urto con veicolo in sosta;3;1;0;0;0;0;0;
2015-03-23;18:52:00;ASSE MEDIANO DI SCORRIMENTO;KM. 9,300;;Incidente stradale con feriti;Tamponamento;3;2;1;2;0;0;0;
2015-03-23;16:54:00;ROTATORIA STAMIRA/PERETTI;;;Incidente stradale senza feriti;Precedenza;2;1;1;0;0;0;0;
2015-03-23;13:43:00;VIA DEI GIUDICATI;< x >;VIA GIUD. GUGLIELMO;Incidente stradale con feriti;Cambio di corsia;2;1;2;1;1;0;0;
2015-03-23;08:43:00;VIA VESALIO;< x >;VIA DEI CARBONARI;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-03-24;19:32:00;VIALE TRIESTE;< x >;VIA S.PAOLO;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0;
2015-03-24;11:00:00;VIA RIVA VILLASANTA;< x >;VIA DEI GRILLI;Incidente stradale con feriti;Tamponamento;2;1;2;1;0;0;0;
2015-03-24;10:12:00;VIALE S.AVENDRACE;< x >;VIA PIAVE;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-03-25;20:33:00;VIA PISANO;< x >;PARC. AUCHAN MARCONI;Incidente stradale senza feriti;Precedenza;2;2;0;0;0;0;0;
2015-03-25;15:34:00;VIALE MERELLO;49;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;0;1;0;0;0;0;
2015-03-25;08:00:00;VIALE POETTO;< x >;VIA S`ARRULLONI;Incidente stradale con feriti;Tamponamento;3;1;2;1;0;0;0;
2015-03-25;06:06:00;VIALE GUGLIELMO MARCONI;;;Incidente stradale con feriti;Uscita x sbandamento;1;0;1;1;0;0;0;
2015-03-26;12:39:00;VIA VESALIO;< x >;VIA TURR;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-03-26;08:36:00;VIA ROMA;< x >;VIA ANGIOY;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-03-26;20:01:00;0 S.S. 195 RAC ( EX CASIC);;;Danneggiamento;Danneggiamenti x Buca sulla sede stradale;1;1;0;0;0;0;0;
2015-03-26;18:04:00;VIA DEI DONORATICO;< x >;VIA CAPULA;Incidente stradale con feriti;Precedenza;2;1;1;1;0;0;0;
2015-03-26;16:01:00;VIA DANTE;< x >;VIA TOLA;Incidente stradale con feriti;Precedenza;2;1;1;0;1;0;0;
2015-03-26;15:39:00;VIA SANNA RANDACCIO;;VIA CARBONI BOI;Incidente stradale con feriti;Precedenza;2;2;0;1;0;0;0;
2015-03-27;16:01:00;VIA DEL FANGARIO;27;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-03-27;12:37:00;VIA S.ALENIXEDDA;< x >;VIA COCCO ORTU;Danneggiamento;Urto con cassonetto;2;0;1;0;0;0;0;
