DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-01-12;08:20:00;PIAZZA MADRE TERESA DI CALCUTTA;sn;;Incidente stradale senza feriti;;2;2;0;0;0;0;0;
2015-01-12;11:04:00;VIA TAMBURINO SARDO;44;;Incidente stradale con feriti;Investimento di pedone;1;1;1;0;1;0;0;
2015-01-12;09:44:00;VIA IS MAGLIAS;sn;VIA MONTE SABOTINO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-12;08:19:00;VIALE ELMAS;sn;VIA DELL`  ARTIGIANATO;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-13;20:22:00;VIA SCANO;sn;VIA CUGIA;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-13;11:49:00;VIA BOSCO CAPPUCCIO;79;;Incidente stradale per caduta di pedone;Caduta di pedone x mattonelle divelte;0;0;1;1;0;0;0;
2015-01-14;17:14:00;VIA DEL CANNETO;sn;VIA DELLE RANE;Incidente stradale senza feriti;Frontale / laterale;3;1;1;0;0;0;0;
2015-01-14;16:42:00;VIA MERCALLI;;;Incidente stradale con feriti;Urto laterale;2;1;1;1;0;0;0;
2015-01-15;23:42:00;ASSE MEDIANO DI SCORRIMENTO;< x >;VIA CONVERSI;Incidente stradale con feriti;Uscita x sbandamento;1;1;0;1;0;0;0;
2015-01-15;17:06:00;VIA GHERARDO DELLE NOTTI;sn;VIALE MONASTIR;Incidente stradale con feriti;Tamponamento;2;2;1;2;0;0;0;
2015-01-15;15:43:00;VIA LA VEGA;fr. 9;;Incidente stradale con feriti;Urto laterale;2;1;2;1;1;0;0;
2015-01-15;11:32:00;VIALE MONASTIR;sn;VIA GHERARDO DELLE NOTTI;Incidente stradale senza feriti;Frontale / laterale;2;1;0;0;0;0;0;
2015-01-15;09:47:00;VIA ROMA;201;;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0;
2015-01-16;17:17:00;VIALE MONASTIR;sn;VIA LUNIGIANA;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-16;22:39:00;VIA DANTE;65;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0;
2015-01-17;14:11:00;VIALE GUGLIELMO MARCONI;sn;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-01-17;12:53:00;VIA S.MICHELE;sn;PIAZZA S.MICHELE;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-01-17;10:18:00;VIALE REG. MARGHERITA;91;VIA E. D`ARBOREA;Danneggiamento;Caduta dal veicolo x Buca;1;1;0;1;0;0;0;
2015-01-17;05:49:00;PIAZZA MATTEOTTI;;;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-01-17;03:36:00;VIA IS MAGLIAS;< x >;VIA MONTE SABOTINO;Incidente stradale con feriti;Frontale / laterale;2;1;1;1;0;0;0;
2015-01-18;13:52:00;VIALE MERELLO;sem p. armi;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-01-18;18:42:00;VIA BACAREDDA;< x >;VIA DEI GIUDICATI;Incidente stradale senza feriti;Semaforo rosso;2;2;0;0;0;0;0;
2015-01-19;15:04:00;VIA GARZIA RAFFA;sn;VIA COLOMBI;Incidente stradale senza feriti;Urto con veicolo in sosta;3;0;1;0;0;0;0;
2015-01-19;11:59:00;VIA ROMA;sn;;Incidente stradale senza feriti;Apertura portiera;2;1;1;0;0;0;0;
2015-01-19;09:51:00;VIALE DIAZ;107;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-19;08:53:00;VIALE MERELLO;89;;Incidente stradale con feriti;Urto laterale;2;1;1;1;0;0;0;
2015-01-19;00:27:00;VIALE DIAZ;sn;PIAZZA MARCO POLO;Incidente stradale senza feriti;Uscita x sbandamento;1;0;1;0;0;0;0;
2015-01-19;21:39:00;VIALE REG. ELENA;8;;Incidente stradale con feriti;Caduta dal veicolo x imperizia;1;1;0;1;0;0;0;
2015-01-20;17:24:00;PIAZZA S.BENEDETTO;5;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-01-20;15:12:00;ASSE MEDIANO DI SCORRIMENTO;KM. 7,100;;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-01-20;16:02:00;VIA BACAREDDA;sn;VIA COCCO ORTU;Incidente stradale con feriti;Cambio di corsia;2;1;1;1;0;0;0;
2015-01-20;14:13:00;VIA MALPIGHI;< x >;VIA GUADAZZONIS;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-20;07:50:00;S.S. 131 DIR.;km.4,700;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-21;17:42:00;VIALE GUGLIELMO MARCONI;< x >;VIA CARDANO;Incidente stradale con feriti;Svolta a sinistra irregolare;2;2;0;0;0;1;0;
2015-01-21;00:24:00;S.S. 554;KM. 1,500;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-01-21;16:25:00;VIA PERTINI;< x >;VIA ZEDDA PIRAS;Incidente stradale senza feriti;Urto anteriore;2;2;0;0;0;0;0;
2015-01-21;13:34:00;VIALE ELMAS;*;VICO INFANTE ALFONSO;Incidente stradale con feriti;Frontale / laterale;2;2;1;2;0;0;0;
2015-01-21;10:24:00;VIA DON BOSCO;sn;VIALE MERELLO;Incidente stradale senza feriti;Inversione di marcia;3;2;0;0;0;0;0;
2015-01-21;09:51:00;VIA ROMA (LUNGOMARE);;;Incidente stradale con feriti;Tamponamento;3;3;0;1;0;0;0;
2015-01-21;20:43:00;PIAZZA DEI PESCATORI;< x >;VIA SCHIAVAZZI;Incidente stradale con feriti;Investimento di pedone;1;2;1;1;1;0;0;
2015-01-21;08:27:00;VIALE MONASTIR;194;;Incidente stradale con feriti;Inversione di marcia;2;1;2;2;1;0;0;
2015-01-21;21:01:00;VIA CORNALIAS;< x >;VIA FLUMENTEPIDO;Incidente stradale senza feriti;Precedenza;8;1;1;0;0;0;0;
2015-01-21;07:55:00;VIA S.BENEDETTO;< x >;VIA VERDI;Incidente stradale con feriti;Frontale / laterale;2;1;3;3;0;0;0;
2015-01-22;14:23:00;VIA SONNINO;;VIA S.LUCIFERO;Incidente stradale senza feriti;Urto anteriore;2;2;0;0;0;0;0;
2015-01-22;10:09:00;VIA CARPACCIO;6;;Danneggiamento;;0;2;0;0;0;0;0;
2015-01-22;10:49:00;PIAZZA DE GASPERI;;;Incidente stradale senza feriti;;1;0;0;0;0;0;0;
2015-01-23;01:04:00;S.S. 195;< x >;LOCALITA VILLAGGIO PESCATORI;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-01-23;18:27:00;VIA ALBERTI;SN;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-01-23;17:28:00;VIA ROMA;58;;Incidente stradale senza feriti;Urto laterale;2;1;0;0;0;0;0;
2015-01-23;14:06:00;VIA S.IGNAZIO DA LACONI;< x >;VIA DON BOSCO;Incidente stradale con feriti;Investimento di pedone;1;1;1;1;0;0;0;
2015-01-23;12:12:00;VIALE LA PLAIA;-;VICO LA PLAIA;Incidente stradale con feriti;Tamponamento;3;1;2;2;0;0;0;
2015-01-23;08:37:00;VIA BACAREDDA;< x >;PIAZZA S.ROCCO;Incidente stradale senza feriti;Urto laterale;2;2;0;0;0;0;0;
2015-01-24;05:08:00;PIAZZA MATTEOTTI;sn;;Incidente stradale senza feriti;Uscita x sbandamento;1;0;1;0;0;0;0;
2015-01-25;13:36:00;VIA PUCCINI;;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
